Number of hit	Text ID	Context before	Query item	Context after	URL	Matchbegin corpus position	Matchend corpus position
1	nyt_eng_19940701_0194	; Friday , fewer than a dozen were seen . There were almost as many flags of the country 's	extremist	Hutu party , the Coalition for the Defense of the Republic , whose militia are responsible for much of the	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=0	111818	111818
2	nyt_eng_19940701_0194	said French officials , who characterized the attitude as not hostile but certainly cool . A radio station operated by	extremist	Hutu has reportedly begun accusing the French of collaborating with the Rwandan Patriotic Front , the Tutsi-led political and military	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=1	111915	111915
3	nyt_eng_19940703_0098	with the Palestine Liberation Organization . `` The extreme right in Israel celebrates the bloodshed by the terrorist murderers of	extremist	Islam , trying to use the Israeli victims as a lever against the agreement , '' Rabin said at a	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=2	441506	441506
4	nyt_eng_19940703_0098	Israeli victims as a lever against the agreement , '' Rabin said at a Labor Party gathering . `` The	extremist	murderers of Islamic Holy War and Hamas are the tool of the extreme right in Israel . '' After a	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3	441533	441533
5	nyt_eng_19940706_0213	any suspicion from Iraq or to shift the blame to Iraq 's mortal enemy , Iran , or to an	extremist	Palestinian terrorist group with training camps in Syria , another Iraqi foe . The Iraqi foreign minister declared : ``	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=4	1032525	1032525
6	nyt_eng_19940706_0228	affiliated with religious right groups '' and often share the same moral concerns as Jews . The ADL knows that	extremist	political organizations that exploit the word Christian in their name are no more representative of most Christians than , say	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=5	1037038	1037038
7	nyt_eng_19940707_0002	affiliated with religious right groups '' and often share the same moral concerns as Jews . The ADL knows that	extremist	political organizations that exploit the word Christian in their name are no more representative of most Christians than , say	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6	1129061	1129061
8	nyt_eng_19940710_0140	power . In 1992 , Habyarimana 's party , the National Republican Movement for Democracy and Development , and its	extremist	political ally , the Coalition for the Defense of the Republic party , created what they described as youth wings	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=7	1753890	1753890
9	nyt_eng_19940715_0381	evidence of the past two years , repression will not succeed . The best hope for arresting the slide into	extremist	violence lies in reopening the political dialogue that the military shut down when it seized power and canceled elections early	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=8	2998870	2998870
10	nyt_eng_19940716_0059	The ground for this had been laid well in advance . Since 1990 , the ruling party and the Hutu	extremist	party had been intensifying and promoting animosity against the Tutsis , in addition to bloating the army to 30,000 men	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=9	3030024	3030024
11	nyt_eng_19940716_0059	Egypt and South Africa . Human rights officials say that long before last April , the army was training Hutu	extremist	militias and directing small massacres of Tutsis . Identity cards still carried an entry for an individual 's ethnic group	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=10	3030071	3030071
12	nyt_eng_19940716_0167	, in the view of Western observers . Those observers were denounced this week by Ivanov for giving advice to	extremist	parties -- clearly a reference to some Albanian groups -- and relations with the government have been strained . Calot	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=11	3114152	3114152
13	nyt_eng_19940717_0175	Witt dispatched an adviser , Jack Lansing , to meet a reporter to assure him that he was not an	extremist	. `` He 's no nut , '' Lansing said . Still , Witt and the three other Republican nominees	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=12	3242929	3242929
14	nyt_eng_19940718_0035	The ground for this had been laid well in advance . Since 1990 , the ruling party and the Hutu	extremist	party had been intensifying and promoting animosity against the Tutsis , in addition to bloating the army to 30,000 men	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=13	3297339	3297339
15	nyt_eng_19940718_0035	Egypt and South Africa . Human rights officials say that long before last April , the army was training Hutu	extremist	militias and directing small massacres of Tutsis . Identity cards still carried an entry for an individual 's ethnic group	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=14	3297386	3297386
16	nyt_eng_19940719_0064	to the Israelis at the border to deal with a riot that was apparently orchestrated by Hamas , the Islamic	extremist	organizationation . Under the circumstances , it seems amazing that more Palestinians were not killed . The Israeli troops had	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=15	3553268	3553268
17	nyt_eng_19940721_0433	1975 -RRB- , about a conspiracy to blow up the Glen Canyon Dam , has been credited with inspiring the	extremist	branch of environmental activism . -LRB- How many fiction writers can claim that kind of sway ? -RRB- Two earlier	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=16	4185451	4185451
18	nyt_eng_19940722_0124	with real solutions , they exploit them for political gain . '' `` In speaking out against these corrosive ,	extremist	forces , Sen. Specter is following the guidance of the original Republican , Abraham Lincoln , who urged us to	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=17	4265283	4265283
